Edad,Altura,Peso
43,1.58,57
27,1.68,65
35,1.56,62
27,1.56,65
36,1.76,76
31,1.78,76
37,1.73,70
32,1.61,55
50,1.74,73
22,1.6,54
26,1.75,95
30,1.69,53
23,1.63,58
40,1.66,68
27,1.72,80
27,1.72,76
31,1.57,80
33,1.74,85
26,1.7,83
26,1.72,60
22,1.58,54
46,1.63,63
42,1.8,78
36,1.73,85
34,1.64,60
36,1.75,60
33,1.44,60
30,1.8,82
37,1.76,72
34,1.79,77
24,1.65,54
33,1.85,93
42,1.62,73
23,1.71,70
32,1.52,60
35,1.64,99
40,1.86,89
34,1.64,80
40,1.83,91
35,1.6,82
29,1.82,90
53,1.71,81
55,1.73,78
26,1.75,80
32,1.7,70
39,1.8,92
28,1.78,69
41,1.63,56
37.8,1.75,85.5
38,1.54,60
27,1.62,60
33,1.67,67
50,1.72,80
43,1.68,58
38,1.7,62
32,1.68,66
29,1.65,63
41,1.7,75
28,1.49,49
37,1.55,66
28,1.68,68
43,1.75,97
46,1.72,78
31,1.75,57
45,1.75,68
34,1.62,74
30,1.58,53
41,1.55,60
37,1.73,105
37,1.8,90
45,1.7,85
29,1.69,61
31,1.85,84
36,1.75,82
25,1.8,80
34,1.72,108
36,1.68,54
30,1.62,55
35,1.73,68
32,1.86,94
28,1.5,45
38,1.62,67
41,1.74,82
38,1.8,70
45,1.6,58
26,1.65,69
38,1.83,80
26,1.73,79
34,1.56,56
43,1.57,78
41,1.65,63
41,1.52,50
37,1.55,66
46,1.63,76
